No,year,month,day,hour,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,wd,WSPM,station,date,AQI_Category
19,2013,3,1,18,4.0,12.0,10.0,15.0,300.0,76.0,1.2,1024.4,-21.2,0.0,ENE,1.4,Huairou,2013-03-01 18:00:00,Sehat
20,2013,3,1,19,9.0,18.0,24.0,22.0,500.0,68.0,0.8,1025.1,-20.9,0.0,NNE,2.3,Huairou,2013-03-01 19:00:00,Sehat
21,2013,3,1,20,20.0,24.0,22.0,24.0,500.0,65.0,0.7,1026.2,-20.4,0.0,NNE,4.4,Huairou,2013-03-01 20:00:00,Sedang
22,2013,3,1,21,23.0,29.0,27.0,16.0,400.0,71.0,-0.2,1027.3,-20.0,0.0,NE,3.3,Huairou,2013-03-01 21:00:00,Sedang
23,2013,3,1,22,13.0,20.0,23.0,18.0,400.0,68.0,-1.0,1027.9,-19.6,0.0,NE,3.7,Huairou,2013-03-01 22:00:00,Sedang
24,2013,3,1,23,13.0,24.0,50.0,23.0,400.0,61.0,-1.1,1027.4,-19.2,0.0,NE,3.7,Huairou,2013-03-01 23:00:00,Sedang
25,2013,3,2,0,15.0,21.0,44.0,28.0,500.0,57.0,-1.8,1027.3,-19.3,0.0,NE,4.8,Huairou,2013-03-02 00:00:00,Sedang
26,2013,3,2,1,9.0,16.0,28.0,17.0,400.0,67.0,-2.1,1027.9,-19.1,0.0,ENE,2.6,Huairou,2013-03-02 01:00:00,Sehat
27,2013,3,2,2,11.0,13.0,40.0,16.0,300.0,67.0,-2.2,1027.4,-19.6,0.0,NE,3.9,Huairou,2013-03-02 02:00:00,Sehat
28,2013,3,2,3,8.0,15.0,27.0,17.0,400.0,64.0,-2.3,1027.1,-19.3,0.0,ENE,2.4,Huairou,2013-03-02 03:00:00,Sehat
29,2013,3,2,4,13.0,15.0,47.0,26.0,400.0,56.0,-3.4,1027.2,-18.1,0.0,W,0.6,Huairou,2013-03-02 04:00:00,Sedang
30,2013,3,2,5,15.0,18.0,42.2688,26.4837,,56.1204,-4.2,1026.9,-16.4,0.0,WNW,1.4,Huairou,2013-03-02 05:00:00,Sedang
31,2013,3,2,6,12.0,17.0,21.0,11.0,400.0,63.0,-4.5,1025.8,-16.4,0.0,E,1.9,Huairou,2013-03-02 06:00:00,Sehat
32,2013,3,2,7,7.0,11.0,11.0,18.0,500.0,45.0,-4.0,1026.6,-14.2,0.0,E,1.2,Huairou,2013-03-02 07:00:00,Sehat
33,2013,3,2,8,14.0,11.0,61.0,44.0,600.0,28.0,-2.6,1026.6,-16.7,0.0,ENE,0.8,Huairou,2013-03-02 08:00:00,Sedang
34,2013,3,2,9,22.0,31.0,63.0,60.0,800.0,18.0,-1.2,1026.2,-16.2,0.0,S,0.9,Huairou,2013-03-02 09:00:00,Sedang
35,2013,3,2,10,31.0,49.0,48.0,33.0,500.0,43.0,-0.1,1025.8,-16.9,0.0,SSE,0.6,Huairou,2013-03-02 10:00:00,Sedang
36,2013,3,2,11,27.0,35.0,79.0,47.0,600.0,35.0,1.1,1025.5,-16.8,0.0,WSW,1.8,Huairou,2013-03-02 11:00:00,Sedang
37,2013,3,2,12,36.0,50.0,73.0,50.0,700.0,38.0,2.0,1024.3,-18.1,0.0,SW,1.2,Huairou,2013-03-02 12:00:00,Buruk
38,2013,3,2,13,31.0,47.0,41.0,39.0,500.0,48.0,2.2,1022.8,-17.9,0.0,S,1.1,Huairou,2013-03-02 13:00:00,Sedang
39,2013,3,2,14,28.0,37.0,25.0,34.0,400.0,54.0,2.3,1022.0,-17.3,0.0,SW,2.1,Huairou,2013-03-02 14:00:00,Sedang
40,2013,3,2,15,26.0,31.0,25.0,50.0,600.0,40.0,2.8,1021.3,-17.4,0.0,SW,1.8,Huairou,2013-03-02 15:00:00,Sedang
41,2013,3,2,16,29.0,41.0,27.0,60.0,700.0,30.0,2.2,1020.7,-16.8,0.0,SSW,1.4,Huairou,2013-03-02 16:00:00,Sedang
42,2013,3,2,17,36.0,52.0,44.0,81.0,800.0,16.0,1.2,1020.4,-15.8,0.0,W,0.9,Huairou,2013-03-02 17:00:00,Buruk
43,2013,3,2,18,44.0,67.0,42.0,91.0,1000.0,5.0,0.1,1020.4,-15.5,0.0,NW,1.0,Huairou,2013-03-02 18:00:00,Buruk
44,2013,3,2,19,53.0,70.0,36.0,100.0,1100.0,2.0,-1.3,1019.9,-12.6,0.0,W,1.0,Huairou,2013-03-02 19:00:00,Buruk
45,2013,3,2,20,52.0,71.0,42.0,100.0,1800.0,2.0,-1.6,1019.7,-13.5,0.0,W,1.1,Huairou,2013-03-02 20:00:00,Buruk
46,2013,3,2,21,97.0,103.0,34.0,88.0,1600.0,2.0,-1.8,1019.6,-12.5,0.0,WNW,1.2,Huairou,2013-03-02 21:00:00,Sangat Buruk
47,2013,3,2,22,89.0,89.0,30.0,83.0,1600.0,2.0,-1.8,1019.0,-13.3,0.0,WNW,0.7,Huairou,2013-03-02 22:00:00,Sangat Buruk
48,2013,3,2,23,80.0,83.0,30.0,77.0,1399.0,2.0,-2.8,1018.1,-10.1,0.0,WNW,1.4,Huairou,2013-03-02 23:00:00,Sangat Buruk
49,2013,3,3,0,62.0,70.0,22.0,66.0,1300.0,2.0,-2.9,1017.0,-11.9,0.0,WNW,0.0,Huairou,2013-03-03 00:00:00,Sangat Buruk
50,2013,3,3,1,51.0,63.0,20.0,52.0,1000.0,6.0,-3.8,1016.2,-12.7,0.0,NE,0.9,Huairou,2013-03-03 01:00:00,Buruk
51,2013,3,3,2,42.0,49.0,18.0,48.0,900.0,7.0,-4.6,1015.0,-11.2,0.0,N,0.8,Huairou,2013-03-03 02:00:00,Buruk
52,2013,3,3,3,40.0,45.0,19.0,52.0,1100.0,2.0,-5.5,1014.3,-11.2,0.0,WNW,1.5,Huairou,2013-03-03 03:00:00,Buruk
53,2013,3,3,4,44.0,51.0,16.0,45.0,1000.0,6.0,-6.1,1013.7,-12.0,0.0,WNW,1.3,Huairou,2013-03-03 04:00:00,Buruk
54,2013,3,3,5,45.0,49.0,12.0,45.0,1100.0,3.0,-6.9,1013.2,-12.6,0.0,NNW,0.4,Huairou,2013-03-03 05:00:00,Buruk
55,2013,3,3,6,55.0,58.0,12.0,44.0,1100.0,3.0,-7.2,1013.1,-12.3,0.0,NNE,0.8,Huairou,2013-03-03 06:00:00,Buruk
56,2013,3,3,7,47.0,57.0,12.0,43.0,1000.0,3.0,-5.6,1013.3,-11.3,0.0,WNW,1.5,Huairou,2013-03-03 07:00:00,Buruk
57,2013,3,3,8,58.0,59.0,17.0,41.0,1100.0,8.0,-0.4,1012.8,-11.8,0.0,N,0.5,Huairou,2013-03-03 08:00:00,Sangat Buruk
58,2013,3,3,9,64.0,68.0,83.0,55.0,1300.0,10.0,2.4,1012.5,-12.7,0.0,ESE,2.0,Huairou,2013-03-03 09:00:00,Sangat Buruk
59,2013,3,3,10,77.0,97.0,133.0,74.0,1500.0,16.0,5.2,1011.7,-12.8,0.0,NW,0.9,Huairou,2013-03-03 10:00:00,Sangat Buruk
60,2013,3,3,11,96.0,127.0,83.0,62.0,1200.0,33.0,7.6,1010.4,-12.8,0.0,E,2.1,Huairou,2013-03-03 11:00:00,Sangat Buruk
61,2013,3,3,12,95.0,112.0,87.0,61.0,1200.0,43.0,10.1,1009.4,-12.5,0.0,ESE,3.0,Huairou,2013-03-03 12:00:00,Sangat Buruk
62,2013,3,3,13,94.0,115.0,75.0,57.0,1100.0,52.0,11.5,1008.1,-12.8,0.0,E,2.1,Huairou,2013-03-03 13:00:00,Sangat Buruk
63,2013,3,3,14,103.0,128.0,66.0,51.0,1000.0,55.0,13.2,1007.4,-12.9,0.0,ESE,3.0,Huairou,2013-03-03 14:00:00,Sangat Buruk
64,2013,3,3,15,103.0,140.0,64.0,65.0,1000.0,54.0,15.3,1007.1,-14.0,0.0,NW,4.4,Huairou,2013-03-03 15:00:00,Sangat Buruk
65,2013,3,3,16,98.0,151.0,63.0,63.0,900.0,54.0,15.1,1007.3,-14.2,0.0,W,4.9,Huairou,2013-03-03 16:00:00,Sangat Buruk
66,2013,3,3,17,82.0,154.0,9.0,19.0,200.0,78.0,13.1,1007.9,-13.9,0.0,N,1.9,Huairou,2013-03-03 17:00:00,Sangat Buruk
67,2013,3,3,18,22.0,70.0,5.0,14.0,200.0,77.0,8.8,1009.2,-12.4,0.0,WNW,2.7,Huairou,2013-03-03 18:00:00,Sedang
68,2013,3,3,19,12.0,40.0,18.0,25.0,500.0,41.0,9.4,1010.0,-12.5,0.0,WNW,3.1,Huairou,2013-03-03 19:00:00,Sehat
69,2013,3,3,20,18.0,60.0,12.0,29.0,500.0,40.0,7.3,1010.1,-12.5,0.0,SSW,0.9,Huairou,2013-03-03 20:00:00,Sedang
71,2013,3,3,22,17.0,44.0,34.0,47.0,1200.0,4.0,3.3,1011.3,-10.7,0.0,WNW,1.2,Huairou,2013-03-03 22:00:00,Sedang
72,2013,3,3,23,40.0,79.0,29.0,47.0,1000.0,19.0,9.9,1011.8,-13.4,0.0,WNW,2.6,Huairou,2013-03-03 23:00:00,Buruk
73,2013,3,4,0,38.0,68.0,27.0,34.0,700.0,33.0,7.2,1012.8,-13.1,0.0,E,0.7,Huairou,2013-03-04 00:00:00,Buruk
74,2013,3,4,1,28.0,51.0,11.0,6.0,100.0,75.0,5.9,1013.7,-13.2,0.0,SW,1.6,Huairou,2013-03-04 01:00:00,Sedang
75,2013,3,4,2,9.0,24.0,16.0,10.0,100.0,74.0,4.7,1013.9,-13.2,0.0,NW,5.3,Huairou,2013-03-04 02:00:00,Sehat
76,2013,3,4,3,13.0,26.0,13.0,8.0,200.0,73.0,7.2,1014.0,-15.6,0.0,NNW,3.5,Huairou,2013-03-04 03:00:00,Sedang
77,2013,3,4,4,6.0,14.0,21.0,12.0,100.0,74.0,4.0,1014.0,-14.3,0.0,SSE,1.4,Huairou,2013-03-04 04:00:00,Sehat
78,2013,3,4,5,8.0,26.0,29.0,31.0,400.0,43.0,1.8,1014.7,-13.2,0.0,SW,2.0,Huairou,2013-03-04 05:00:00,Sehat
79,2013,3,4,6,14.0,30.0,31.0,38.0,500.0,35.0,0.0,1016.0,-13.3,0.0,SSW,0.2,Huairou,2013-03-04 06:00:00,Sedang
80,2013,3,4,7,13.0,38.0,40.0,55.0,600.0,16.0,2.4,1017.0,-11.9,0.0,E,0.5,Huairou,2013-03-04 07:00:00,Sedang
81,2013,3,4,8,14.0,42.0,60.0,92.0,3299.0,2.0,7.1,1017.6,-12.2,0.0,SE,1.7,Huairou,2013-03-04 08:00:00,Sedang
82,2013,3,4,9,47.0,117.0,64.0,49.0,500.0,38.0,8.6,1017.8,-13.8,0.0,SE,1.9,Huairou,2013-03-04 09:00:00,Buruk
83,2013,3,4,10,26.0,48.0,34.0,22.0,200.0,66.0,10.1,1017.2,-13.9,0.0,E,2.2,Huairou,2013-03-04 10:00:00,Sedang
84,2013,3,4,11,15.0,29.0,31.0,23.0,200.0,69.0,11.4,1016.8,-14.4,0.0,ESE,2.9,Huairou,2013-03-04 11:00:00,Sedang
85,2013,3,4,12,17.0,28.0,21.0,20.0,200.0,75.0,12.5,1015.7,-14.3,0.0,ENE,3.5,Huairou,2013-03-04 12:00:00,Sedang
86,2013,3,4,13,21.0,29.0,13.0,15.0,200.0,84.0,12.9,1014.5,-14.0,0.0,E,2.6,Huairou,2013-03-04 13:00:00,Sedang
87,2013,3,4,14,16.0,21.0,13.0,14.0,100.0,88.0,13.7,1013.5,-14.3,0.0,E,1.9,Huairou,2013-03-04 14:00:00,Sedang
88,2013,3,4,15,15.0,19.0,15.0,16.0,100.0,90.0,13.9,1012.9,-14.1,0.0,SSE,1.6,Huairou,2013-03-04 15:00:00,Sedang
89,2013,3,4,16,16.0,24.0,14.0,14.0,100.0,91.0,13.3,1012.3,-14.6,0.0,ENE,1.5,Huairou,2013-03-04 16:00:00,Sedang
90,2013,3,4,17,20.0,27.0,23.0,26.0,200.0,81.0,11.2,1012.5,-13.8,0.0,N,2.0,Huairou,2013-03-04 17:00:00,Sedang
91,2013,3,4,18,27.0,36.0,24.0,34.0,300.0,72.0,7.8,1013.2,-11.6,0.0,NW,1.1,Huairou,2013-03-04 18:00:00,Sedang
114,2013,3,5,17,3.0,158.0,80.0,79.0,1200.0,88.0,11.5,1004.6,-7.9,0.0,SSW,0.2,Huairou,2013-03-05 17:00:00,Sehat
115,2013,3,5,18,3.0,184.0,82.0,83.0,1600.0,88.0,7.9,1005.1,-7.4,0.0,WNW,1.6,Huairou,2013-03-05 18:00:00,Sehat
116,2013,3,5,19,3.0,233.0,61.0,150.0,2299.0,88.0,6.2,1005.5,-7.4,0.0,WNW,2.2,Huairou,2013-03-05 19:00:00,Sehat
117,2013,3,5,20,189.0,243.0,54.0,124.0,2500.0,88.0,5.0,1005.9,-6.9,0.0,SE,0.6,Huairou,2013-03-05 20:00:00,Sangat Buruk
118,2013,3,5,21,200.0,233.0,54.0,123.0,2200.0,88.0,3.4,1006.0,-7.1,0.0,NNE,0.6,Huairou,2013-03-05 21:00:00,Sangat Buruk
119,2013,3,5,22,182.0,203.0,47.0,92.0,1899.0,88.0,3.1,1005.7,-6.6,0.0,NE,0.8,Huairou,2013-03-05 22:00:00,Sangat Buruk
120,2013,3,5,23,163.0,163.0,42.0,90.0,1899.0,88.0,2.0,1005.7,-6.8,0.0,SSE,0.6,Huairou,2013-03-05 23:00:00,Sangat Buruk
121,2013,3,6,0,156.0,159.0,38.0,67.0,1700.0,88.0,1.1,1005.5,-6.5,0.0,NNE,0.5,Huairou,2013-03-06 00:00:00,Sangat Buruk
122,2013,3,6,1,142.0,142.0,34.0,58.0,1500.0,88.0,0.6,1005.5,-6.5,0.0,WNW,1.9,Huairou,2013-03-06 01:00:00,Sangat Buruk
123,2013,3,6,2,154.0,132.0,29.0,63.0,1700.0,88.0,0.2,1004.7,-6.2,0.0,NW,1.0,Huairou,2013-03-06 02:00:00,Sangat Buruk
124,2013,3,6,3,134.0,136.0,25.0,51.0,1600.0,88.0,0.0,1004.7,-6.2,0.0,NE,0.7,Huairou,2013-03-06 03:00:00,Sangat Buruk
125,2013,3,6,4,154.0,128.0,21.0,51.0,1600.0,88.0,0.0,1004.7,-6.2,0.0,NNW,0.9,Huairou,2013-03-06 04:00:00,Sangat Buruk
126,2013,3,6,5,135.0,138.0,21.0,57.0,1600.0,88.0,0.4,1005.3,-6.3,0.0,NW,1.6,Huairou,2013-03-06 05:00:00,Sangat Buruk
127,2013,3,6,6,132.0,143.0,31.0,76.0,1800.0,88.0,0.7,1005.6,-6.0,0.0,NW,1.7,Huairou,2013-03-06 06:00:00,Sangat Buruk
128,2013,3,6,7,130.0,143.0,31.0,79.0,1800.0,88.0,1.6,1006.3,-5.3,0.0,WNW,1.2,Huairou,2013-03-06 07:00:00,Sangat Buruk
129,2013,3,6,8,134.0,150.0,51.0,84.0,1899.0,88.0,3.3,1006.3,-4.0,0.0,SW,0.4,Huairou,2013-03-06 08:00:00,Sangat Buruk
130,2013,3,6,9,142.0,160.0,70.0,91.0,2100.0,88.0,5.5,1006.1,-4.7,0.0,ESE,1.0,Huairou,2013-03-06 09:00:00,Sangat Buruk
131,2013,3,6,10,175.0,182.0,83.0,91.0,2100.0,88.0,7.9,1005.9,-5.2,0.0,NNW,0.4,Huairou,2013-03-06 10:00:00,Sangat Buruk
132,2013,3,6,11,188.0,192.0,103.0,91.0,1800.0,88.0,8.8,1005.0,-5.8,0.0,NE,0.9,Huairou,2013-03-06 11:00:00,Sangat Buruk
133,2013,3,6,12,175.0,185.0,113.0,91.0,1700.0,88.0,9.7,1003.8,-6.2,0.0,ENE,1.8,Huairou,2013-03-06 12:00:00,Sangat Buruk
134,2013,3,6,13,170.0,178.0,89.0,80.0,1600.0,88.0,11.2,1002.7,-6.2,0.0,E,1.7,Huairou,2013-03-06 13:00:00,Sangat Buruk
135,2013,3,6,14,121.0,159.0,96.0,71.0,1399.0,88.0,12.8,1002.2,-6.3,0.0,E,3.0,Huairou,2013-03-06 14:00:00,Sangat Buruk
136,2013,3,6,15,140.0,141.0,112.0,66.0,1399.0,84.0,13.5,1002.3,-6.2,0.0,ENE,1.9,Huairou,2013-03-06 15:00:00,Sangat Buruk
137,2013,3,6,16,150.0,156.0,127.0,62.0,1399.0,70.0,13.6,1002.2,-6.1,0.0,E,0.7,Huairou,2013-03-06 16:00:00,Sangat Buruk
138,2013,3,6,17,149.0,170.0,118.0,83.0,1500.0,65.0,11.2,1002.8,-5.8,0.0,N,0.5,Huairou,2013-03-06 17:00:00,Sangat Buruk
139,2013,3,6,18,177.0,252.0,90.0,96.0,1700.0,65.0,7.8,1003.6,-4.7,0.0,SW,1.2,Huairou,2013-03-06 18:00:00,Sangat Buruk
140,2013,3,6,19,173.0,316.0,61.0,117.0,2200.0,65.0,7.1,1004.2,-5.3,0.0,NE,1.5,Huairou,2013-03-06 19:00:00,Sangat Buruk
141,2013,3,6,20,192.0,340.0,67.0,144.0,4299.0,65.0,5.2,1004.7,-4.9,0.0,N,0.9,Huairou,2013-03-06 20:00:00,Sangat Buruk
142,2013,3,6,21,267.0,354.0,66.0,150.0,4400.0,65.0,3.9,1004.5,-4.8,0.0,WNW,0.5,Huairou,2013-03-06 21:00:00,Sangat Buruk
143,2013,3,6,22,288.0,354.0,54.0,132.0,3500.0,65.0,2.3,1004.6,-4.5,0.0,WNW,1.5,Huairou,2013-03-06 22:00:00,Sangat Buruk
144,2013,3,6,23,245.0,279.0,49.0,127.0,4000.0,65.0,2.8,1004.2,-4.4,0.0,WNW,2.3,Huairou,2013-03-06 23:00:00,Sangat Buruk
145,2013,3,7,0,240.0,276.0,44.0,116.0,3500.0,65.0,1.8,1004.1,-4.5,0.0,WNW,1.2,Huairou,2013-03-07 00:00:00,Sangat Buruk
146,2013,3,7,1,231.0,239.0,33.0,101.0,2600.0,65.0,0.6,1004.6,-4.6,0.0,NNW,1.7,Huairou,2013-03-07 01:00:00,Sangat Buruk
147,2013,3,7,2,174.0,197.0,32.0,104.0,3200.0,65.0,0.7,1003.8,-4.2,0.0,N,1.3,Huairou,2013-03-07 02:00:00,Sangat Buruk
148,2013,3,7,3,203.0,205.0,34.0,101.0,2399.0,65.0,-0.2,1003.6,-4.3,0.0,NW,0.8,Huairou,2013-03-07 03:00:00,Sangat Buruk
149,2013,3,7,4,142.0,173.0,32.0,98.0,2399.0,65.0,-0.8,1003.6,-4.7,0.0,SE,0.5,Huairou,2013-03-07 04:00:00,Sangat Buruk
150,2013,3,7,5,165.0,184.0,20.0,88.0,2299.0,65.0,-1.6,1003.8,-4.8,0.0,WNW,1.1,Huairou,2013-03-07 05:00:00,Sangat Buruk
151,2013,3,7,6,151.0,161.0,16.0,85.0,2399.0,65.0,-1.6,1003.5,-4.9,0.0,S,0.7,Huairou,2013-03-07 06:00:00,Sangat Buruk
152,2013,3,7,7,142.0,165.0,23.0,84.0,2100.0,65.0,1.9,1003.8,-3.8,0.0,SE,0.8,Huairou,2013-03-07 07:00:00,Sangat Buruk
153,2013,3,7,8,126.0,135.0,38.0,85.0,2200.0,65.0,5.9,1003.6,-3.2,0.0,ESE,0.9,Huairou,2013-03-07 08:00:00,Sangat Buruk
154,2013,3,7,9,128.0,139.0,89.0,100.0,1899.0,65.0,8.6,1003.2,-3.6,0.0,SSE,1.1,Huairou,2013-03-07 09:00:00,Sangat Buruk
155,2013,3,7,10,144.0,171.0,126.0,78.0,1200.0,65.0,11.1,1002.4,-3.8,0.0,WSW,1.3,Huairou,2013-03-07 10:00:00,Sangat Buruk
156,2013,3,7,11,116.0,138.0,128.0,87.0,1399.0,65.0,13.7,1000.8,-3.6,0.0,S,1.4,Huairou,2013-03-07 11:00:00,Sangat Buruk
157,2013,3,7,12,122.0,169.0,144.0,113.0,1800.0,65.0,15.9,998.5,-5.2,0.0,ESE,1.9,Huairou,2013-03-07 12:00:00,Sangat Buruk
158,2013,3,7,13,181.0,222.0,104.0,95.0,1600.0,65.0,17.6,996.9,-5.0,0.0,S,1.3,Huairou,2013-03-07 13:00:00,Sangat Buruk
159,2013,3,7,14,135.0,166.0,83.0,87.0,1300.0,68.0,16.6,995.8,-4.6,0.0,SSW,2.1,Huairou,2013-03-07 14:00:00,Sangat Buruk
160,2013,3,7,15,144.0,181.0,81.0,118.0,1800.0,68.0,16.5,995.0,-3.6,0.0,SW,0.7,Huairou,2013-03-07 15:00:00,Sangat Buruk
161,2013,3,7,16,190.0,336.0,100.0,163.0,2600.0,68.0,15.6,994.4,-3.4,0.0,WNW,1.1,Huairou,2013-03-07 16:00:00,Sangat Buruk
162,2013,3,7,17,290.0,553.0,75.0,177.0,2700.0,68.0,13.1,994.1,-3.7,0.0,WNW,2.7,Huairou,2013-03-07 17:00:00,Sangat Buruk
165,2013,3,7,20,354.0,545.0,55.0,205.0,4400.0,68.0,8.6,994.7,-3.6,0.0,W,2.3,Huairou,2013-03-07 20:00:00,Sangat Buruk
166,2013,3,7,21,371.0,418.0,56.0,169.0,3500.0,68.0,7.3,995.3,-3.0,0.0,ESE,1.6,Huairou,2013-03-07 21:00:00,Sangat Buruk
167,2013,3,7,22,264.0,318.0,52.0,124.0,2399.0,68.0,5.9,995.2,-3.5,0.0,NW,1.6,Huairou,2013-03-07 22:00:00,Sangat Buruk
168,2013,3,7,23,228.0,229.0,47.0,145.0,3000.0,68.0,6.1,995.4,-3.3,0.0,N,0.9,Huairou,2013-03-07 23:00:00,Sangat Buruk
169,2013,3,8,0,223.0,252.0,40.0,113.0,2700.0,68.0,5.3,995.1,-3.3,0.0,WNW,2.4,Huairou,2013-03-08 00:00:00,Sangat Buruk
170,2013,3,8,1,221.0,230.0,43.0,118.0,2700.0,68.0,4.7,995.2,-3.1,0.0,E,1.2,Huairou,2013-03-08 01:00:00,Sangat Buruk
171,2013,3,8,2,208.0,234.0,32.0,78.0,2100.0,68.0,2.6,995.1,-3.3,0.0,W,1.8,Huairou,2013-03-08 02:00:00,Sangat Buruk
172,2013,3,8,3,195.0,206.0,28.0,84.0,2399.0,68.0,2.0,995.0,-3.5,0.0,WNW,1.3,Huairou,2013-03-08 03:00:00,Sangat Buruk
173,2013,3,8,4,173.0,193.0,24.0,66.0,1899.0,68.0,1.9,995.4,-3.8,0.0,W,1.2,Huairou,2013-03-08 04:00:00,Sangat Buruk
174,2013,3,8,5,174.0,180.0,24.0,78.0,2000.0,68.0,1.2,996.4,-4.1,0.0,ESE,1.4,Huairou,2013-03-08 05:00:00,Sangat Buruk
175,2013,3,8,6,211.0,235.0,34.0,92.0,2100.0,68.0,1.2,996.9,-4.3,0.0,WSW,0.4,Huairou,2013-03-08 06:00:00,Sangat Buruk
176,2013,3,8,7,197.0,213.0,44.0,99.0,2399.0,68.0,3.9,997.5,-3.4,0.0,NNE,2.9,Huairou,2013-03-08 07:00:00,Sangat Buruk
177,2013,3,8,8,227.0,232.0,61.0,102.0,2799.0,68.0,10.3,997.9,-3.4,0.0,W,0.7,Huairou,2013-03-08 08:00:00,Sangat Buruk
178,2013,3,8,9,240.0,246.0,112.0,98.0,2200.0,68.0,14.6,997.8,-4.7,0.0,E,1.3,Huairou,2013-03-08 09:00:00,Sangat Buruk
179,2013,3,8,10,173.0,193.0,105.3864,79.4511,,68.0,17.8,997.6,-3.6,0.0,SSE,2.8,Huairou,2013-03-08 10:00:00,Sangat Buruk
180,2013,3,8,11,112.0,122.0,66.0,58.0,1000.0,68.0,19.4,997.0,-3.5,0.0,S,2.2,Huairou,2013-03-08 11:00:00,Sangat Buruk
181,2013,3,8,12,114.0,148.0,57.0,61.0,1000.0,76.0,20.3,996.5,-3.4,0.0,SE,2.4,Huairou,2013-03-08 12:00:00,Sangat Buruk
182,2013,3,8,13,139.0,173.0,48.0,66.0,1200.0,97.0,16.5,996.2,1.7,0.0,SE,5.2,Huairou,2013-03-08 13:00:00,Sangat Buruk
183,2013,3,8,14,534.0,835.0,114.0,184.0,7299.0,107.0,14.8,996.5,-0.1,0.0,SSE,3.9,Huairou,2013-03-08 14:00:00,Sangat Buruk
184,2013,3,8,15,510.0,624.0,159.0,158.0,8000.0,107.0,13.8,996.8,-0.7,0.0,SE,3.9,Huairou,2013-03-08 15:00:00,Sangat Buruk
185,2013,3,8,16,212.0,246.0,112.0,90.0,2299.0,107.0,12.3,997.0,-0.9,0.0,S,2.9,Huairou,2013-03-08 16:00:00,Sangat Buruk
186,2013,3,8,17,165.0,202.0,74.0,74.0,1399.0,107.0,11.0,997.1,-1.8,0.0,SSE,4.6,Huairou,2013-03-08 17:00:00,Sangat Buruk
187,2013,3,8,18,136.0,145.0,52.0,66.0,1100.0,107.0,9.4,997.5,-1.7,0.0,WSW,1.3,Huairou,2013-03-08 18:00:00,Sangat Buruk
188,2013,3,8,19,112.0,135.0,40.0,71.0,1000.0,107.0,7.8,997.3,-2.0,0.0,WNW,2.4,Huairou,2013-03-08 19:00:00,Sangat Buruk
189,2013,3,8,20,110.0,129.0,36.0,74.0,1200.0,107.0,6.4,997.4,-2.5,0.0,SW,1.5,Huairou,2013-03-08 20:00:00,Sangat Buruk
190,2013,3,8,21,99.0,139.0,33.0,82.0,1399.0,107.0,5.2,997.0,-2.6,0.0,WNW,1.8,Huairou,2013-03-08 21:00:00,Sangat Buruk
